"order_id","p_creation_month"
"2330","2022-10-01"
"3124","2022-11-01"
"3131","2022-11-01"
"3122","2022-11-01"
"3150","2022-11-01"
"3134","2022-11-01"
"3136","2022-11-01"
"3099","2022-11-01"
"3123","2022-11-01"
"3135","2022-11-01"
"3090","2022-11-01"
"3111","2022-11-01"
"3126","2022-11-01"
"3066","2022-11-01"
"3073","2022-11-01"
"3101","2022-11-01"
"3064","2022-11-01"
"2632","2022-11-01"
"2711","2022-11-01"
"2636","2022-11-01"
"3019","2022-11-01"
"2537","2022-11-01"
"2649","2022-11-01"
"2941","2022-11-01"
"2946","2022-11-01"
"2548","2022-11-01"
"2944","2022-11-01"
"2334","2022-11-01"
"2847","2022-11-01"
"2349","2022-11-01"
"3000","2022-11-01"
"2949","2022-11-01"
"2543","2022-11-01"
"2511","2022-11-01"
"2516","2022-11-01"
"2517","2022-11-01"
"2856","2022-11-01"
"2936","2022-11-01"
"2352","2022-11-01"
"2793","2022-11-01"
"2345","2022-11-01"
"2994","2022-11-01"
"2350","2022-11-01"
"2333","2022-11-01"
"2724","2022-11-01"
"3018","2022-11-01"
"2996","2022-11-01"
"2799","2022-11-01"
"2335","2022-11-01"
"2854","2022-11-01"
"3021","2022-11-01"
"2668","2022-11-01"
"2897","2022-11-01"
"2898","2022-11-01"
"2896","2022-11-01"
"2886","2022-11-01"
"2625","2022-11-01"
"3077","2022-11-01"
"3079","2022-11-01"
"3069","2022-11-01"
"2894","2022-11-01"
"2679","2022-11-01"
"2899","2022-11-01"
"2895","2022-11-01"
"2919","2022-11-01"
"3036","2022-11-01"
"2910","2022-11-01"
"3156","2022-11-01"
"2572","2022-11-01"
"2835","2022-11-01"
"3008","2022-11-01"
"3012","2022-11-01"
"3013","2022-11-01"
"2709","2022-11-01"
"2573","2022-11-01"
"2661","2022-11-01"
"2879","2022-11-01"
"2716","2022-11-01"
"2830","2022-11-01"
"2839","2022-11-01"
"3015","2022-11-01"
"2719","2022-11-01"
"2665","2022-11-01"
"3055","2022-11-01"
"2671","2022-11-01"
"2740","2022-11-01"
"2860","2022-11-01"
"2631","2022-11-01"
"3053","2022-11-01"
"2706","2022-11-01"
"2875","2022-11-01"
"2846","2022-11-01"
"2870","2022-11-01"
"2634","2022-11-01"
"2976","2022-11-01"
"2948","2022-11-01"
"2891","2022-11-01"
"2925","2022-11-01"
"2901","2022-11-01"
"2480","2022-11-01"